Live pressure   ok
Memory free     3.0 GiB
Swap used       512.0 MiB
Disk used       80%
AI CPU          15.3%
AI RSS          1.3 GiB
Processes       3
Top CPU         codex 10.0% app pid 123
Top CPU         cursor 3.5% extension-host pid 456
Top CPU         claude-code 1.8% terminal pid 789
Top RAM         codex 600.0 MiB app pid 123
Top RAM         cursor 500.0 MiB extension-host pid 456
Top RAM         claude-code 200.0 MiB terminal pid 789
Next            No urgent pressure action detected.
